edges,distance,location_id,PV_NAAM,node_from,node_to,value
"(44813142, 1240675841, 0)",0.00023254480121460516,PZH01_MST_0649_00,Zuid-Holland,44813142.0,1240675841.0,926.8571428571429
"(1240675841, 44813142, 0)",0.00019936203067500655,PZH01_MST_0649_01,Zuid-Holland,1240675841.0,44813142.0,1007.5
"(45511897, 45526615, 0)",0.00012512029190970262,PZH01_MST_0653_00,Zuid-Holland,45511897.0,45526615.0,1088.4285714285713
"(45511897, 45526615, 0)",0.00013682392948985705,PZH01_MST_0653_01,Zuid-Holland,45511897.0,45526615.0,538.7142857142857
"(45799341, 3249308773, 0)",0.00010534945207539879,PZH01_MST_0657_00,Zuid-Holland,45799341.0,3249308773.0,0.0
"(3249308773, 45799341, 0)",3.4943083794457295e-05,PZH01_MST_0657_01,Zuid-Holland,3249308773.0,45799341.0,0.0
"(3356945173, 1413954935, 0)",0.0003349158731598227,PZH01_MST_0658_00,Zuid-Holland,3356945173.0,1413954935.0,4090.3571428571427
"(1413955201, 5471639585, 0)",0.0003383757155644109,PZH01_MST_0659_00,Zuid-Holland,1413955201.0,5471639585.0,4238.928571428572
"(45591548, 45608444, 0)",0.0001697944882652117,PZH01_MST_0661_00,Zuid-Holland,45591548.0,45608444.0,1016.0714285714286
"(45591548, 45608444, 0)",0.00016963629773130524,PZH01_MST_0661_01,Zuid-Holland,45591548.0,45608444.0,1579.0714285714287
"(46073083, 46081187, 0)",0.0003384606310980032,PZH01_MST_0662_00,Zuid-Holland,46073083.0,46081187.0,613.6428571428571
"(46081187, 46073083, 0)",0.00035512949363511405,PZH01_MST_0662_01,Zuid-Holland,46081187.0,46073083.0,744.2142857142857
"(2079032136, 5335975098, 0)",0.0015191519692375041,PZH01_MST_0668_00,Zuid-Holland,2079032136.0,5335975098.0,1912.5714285714287
"(2079032136, 5335975098, 0)",0.001531124725730373,PZH01_MST_0668_01,Zuid-Holland,2079032136.0,5335975098.0,2463.714285714286
"(45531293, 3707158885, 0)",0.009129880659860977,PZH01_MST_0673_00,Zuid-Holland,45531293.0,3707158885.0,1605.857142857143
"(45531293, 3707158885, 0)",0.009082301613498973,PZH01_MST_0673_01,Zuid-Holland,45531293.0,3707158885.0,0.0
"(45542739, 1149194839, 0)",0.030611437073013746,PZH01_MST_0679_00,Zuid-Holland,45542739.0,1149194839.0,903.5714285714286
"(45542739, 1149194839, 0)",0.027864593661279188,PZH01_MST_0679_01,Zuid-Holland,45542739.0,1149194839.0,1297.357142857143
"(45555106, 45570830, 0)",0.0025509749700112286,PZH01_MST_0681_00,Zuid-Holland,45555106.0,45570830.0,741.7142857142857
"(1035935249, 1035936670, 0)",0.0001841518763665292,PZH01_MST_0682_00,Zuid-Holland,1035935249.0,1035936670.0,1464.0714285714287
"(1348013708, 45403207, 0)",0.000261833116354479,PZH01_MST_0684_00,Zuid-Holland,1348013708.0,45403207.0,942.6428571428571
"(45674550, 45693320, 0)",2.3574570971448952e-05,PZH01_MST_0685_00,Zuid-Holland,45674550.0,45693320.0,1089.7142857142858
"(706212180, 706184198, 0)",1.3062547789139638,PZH01_MST_0687_00,Zuid-Holland,706212180.0,706184198.0,934.7142857142857
"(706184198, 706212180, 0)",1.2225576896985704,PZH01_MST_0687_01,Zuid-Holland,706184198.0,706212180.0,634.7142857142857
"(44917025, 761237715, 0)",0.00018636175651820576,PZH01_MST_0690_00,Zuid-Holland,44917025.0,761237715.0,4566.357142857143
"(1410566274, 1410566289, 0)",0.00024795361409824456,PZH01_MST_0691_00,Zuid-Holland,1410566274.0,1410566289.0,2557.8571428571427
"(1410566287, 1410566276, 0)",0.0002500054944766929,PZH01_MST_0691_02,Zuid-Holland,1410566287.0,1410566276.0,2204.714285714286
"(6453427156, 6453427164, 0)",9.016136468785092e-06,PZH01_MST_0694_00,Zuid-Holland,6453427156.0,6453427164.0,1735.0714285714287
"(6453427156, 6453427164, 0)",1.2485474884401152e-05,PZH01_MST_0694_01,Zuid-Holland,6453427156.0,6453427164.0,1108.0
"(771359539, 399178987, 0)",0.0016391804264935146,PZH01_MST_0695_00,Zuid-Holland,771359539.0,399178987.0,1325.857142857143
